case_id,activity,timestamp,resource,amount,lost_reason
OPP-1003,Negociación,2026-07-28 19:19:00,Elena Silva,13767,
OPP-1003,Cerrar Ganado,2026-07-30 19:19:00,Carlos Mendoza,13767,
OPP-1004,Crear Lead,2026-07-02 11:40:00,Ana Gomez,21774,
OPP-1004,Contactar Cliente,2026-07-02 18:11:00,Ana Gomez,21774,
OPP-1004,Calificar Lead,2026-07-03 04:11:00,Ana Gomez,21774,
OPP-1004,Enviar Propuesta,2026-07-05 04:11:00,Ana Gomez,21774,
OPP-1004,Negociación,2026-07-09 04:11:00,Carlos Mendoza,21774,
OPP-1004,Aprobación Legal,2026-07-10 04:11:00,Abog. Ruiz,21774,
OPP-1004,Cerrar Ganado,2026-07-13 04:11:00,Elena Silva,21774,
OPP-1005,Crear Lead,2026-07-12 23:49:00,Ana Gomez,9263,
OPP-1005,Contactar Cliente,2026-07-13 10:36:00,Ana Gomez,9263,
OPP-1005,Calificar Lead,2026-07-13 23:36:00,Ana Gomez,9263,
OPP-1005,Agendar Demo,2026-07-14 23:36:00,Ana Gomez,9263,
OPP-1005,Realizar Demo,2026-07-15 23:36:00,Ana Gomez,9263,
OPP-1005,Enviar Propuesta,2026-07-16 23:36:00,Ana Gomez,9263,
OPP-1005,Negociación,2026-07-20 23:36:00,Elena Silva,9263,
OPP-1005,Cerrar Perdido,2026-07-22 23:36:00,Elena Silva,9263,No tenemos el producto (sin existencias)
OPP-1006,Crear Lead,2026-07-16 18:18:00,Luis Perez,19617,
OPP-1006,Contactar Cliente,2026-07-16 22:05:00,Luis Perez,19617,
OPP-1006,Calificar Lead,2026-07-17 15:05:00,Luis Perez,19617,
OPP-1006,Agendar Demo,2026-07-20 15:05:00,Luis Perez,19617,
OPP-1006,Realizar Demo,2026-07-24 15:05:00,Luis Perez,19617,
OPP-1006,Enviar Propuesta,2026-07-26 15:05:00,Luis Perez,19617,
OPP-1006,Negociación,2026-07-30 15:05:00,Elena Silva,19617,
OPP-1006,Aprobación Legal,2026-08-01 15:05:00,Abog. Castro,19617,
OPP-1006,Cerrar Ganado,2026-08-03 15:05:00,Carlos Mendoza,19617,
OPP-1007,Crear Lead,2026-07-06 23:06:00,Ana Gomez,6513,
OPP-1007,Contactar Cliente,2026-07-07 16:41:00,Ana Gomez,6513,
OPP-1007,Calificar Lead,2026-07-09 07:41:00,Ana Gomez,6513,
OPP-1007,Agendar Demo,2026-07-12 07:41:00,Ana Gomez,6513,
OPP-1007,Realizar Demo,2026-07-14 07:41:00,Ana Gomez,6513,
OPP-1007,Enviar Propuesta,2026-07-16 07:41:00,Ana Gomez,6513,
OPP-1007,Negociación,2026-07-21 07:41:00,Elena Silva,6513,
OPP-1007,Cerrar Ganado,2026-07-22 07:41:00,Elena Silva,6513,
OPP-1008,Crear Lead,2026-07-07 02:39:00,Maria Rodriguez,3641,
OPP-1008,Contactar Cliente,2026-07-07 11:22:00,Maria Rodriguez,3641,
OPP-1008,Calificar Lead,2026-07-07 20:22:00,Maria Rodriguez,3641,
OPP-1008,Agendar Demo,2026-07-09 20:22:00,Maria Rodriguez,3641,
OPP-1008,Realizar Demo,2026-07-12 20:22:00,Maria Rodriguez,3641,
OPP-1008,Enviar Propuesta,2026-07-14 20:22:00,Maria Rodriguez,3641,
OPP-1008,Negociación,2026-07-15 20:22:00,Elena Silva,3641,
OPP-1008,Cerrar Ganado,2026-07-17 20:22:00,Carlos Mendoza,3641,
OPP-1009,Crear Lead,2026-07-08 11:35:00,Luis Perez,47957,
OPP-1009,Contactar Cliente,2026-07-09 03:04:00,Luis Perez,47957,
OPP-1009,Calificar Lead,2026-07-09 16:04:00,Luis Perez,47957,
OPP-1009,Agendar Demo,2026-07-12 16:04:00,Luis Perez,47957,
OPP-1009,Realizar Demo,2026-07-13 16:04:00,Luis Perez,47957,
OPP-1009,Enviar Propuesta,2026-07-14 16:04:00,Luis Perez,47957,
OPP-1009,Negociación,2026-07-19 16:04:00,Elena Silva,47957,
OPP-1009,Aprobación Legal,2026-07-23 16:04:00,Abog. Ruiz,47957,
OPP-1009,Cerrar Ganado,2026-07-26 16:04:00,Carlos Mendoza,47957,
OPP-1010,Crear Lead,2026-07-09 04:19:00,Luis Perez,32616,
OPP-1010,Contactar Cliente,2026-07-10 02:56:00,Luis Perez,32616,
OPP-1010,Calificar Lead,2026-07-10 12:56:00,Luis Perez,32616,
OPP-1010,Agendar Demo,2026-07-12 12:56:00,Luis Perez,32616,
OPP-1010,Realizar Demo,2026-07-14 12:56:00,Luis Perez,32616,
OPP-1010,Enviar Propuesta,2026-07-16 12:56:00,Luis Perez,32616,
OPP-1010,Negociación,2026-07-17 12:56:00,Carlos Mendoza,32616,
OPP-1010,Cerrar Ganado,2026-07-18 12:56:00,Elena Silva,32616,
OPP-1011,Crear Lead,2026-07-12 08:00:00,Ana Gomez,16526,
OPP-1011,Contactar Cliente,2026-07-12 21:24:00,Ana Gomez,16526,
OPP-1011,Calificar Lead,2026-07-12 23:24:00,Ana Gomez,16526,
OPP-1011,Agendar Demo,2026-07-13 23:24:00,Ana Gomez,16526,
OPP-1011,Realizar Demo,2026-07-17 23:24:00,Ana Gomez,16526,
OPP-1011,Enviar Propuesta,2026-07-18 23:24:00,Ana Gomez,16526,
OPP-1011,Negociación,2026-07-20 23:24:00,Carlos Mendoza,16526,
OPP-1011,Aprobación Legal,2026-07-22 23:24:00,Abog. Ruiz,16526,
OPP-1011,Cerrar Ganado,2026-07-24 23:24:00,Elena Silva,16526,
OPP-1012,Crear Lead,2026-07-12 16:01:00,Ana Gomez,11303,
OPP-1012,Contactar Cliente,2026-07-13 12:31:00,Ana Gomez,11303,
OPP-1012,Calificar Lead,2026-07-14 22:31:00,Ana Gomez,11303,
OPP-1012,Agendar Demo,2026-07-15 22:31:00,Ana Gomez,11303,
OPP-1012,Realizar Demo,2026-07-17 22:31:00,Ana Gomez,11303,
OPP-1012,Enviar Propuesta,2026-07-19 22:31:00,Ana Gomez,11303,
OPP-1012,Negociación,2026-07-24 22:31:00,Elena Silva,11303,
OPP-1012,Enviar Propuesta,2026-07-27 22:31:00,Ana Gomez,10003,
OPP-1012,Negociación,2026-07-28 22:31:00,Carlos Mendoza,10003,
OPP-1012,Cerrar Ganado,2026-07-31 22:31:00,Carlos Mendoza,10003,
OPP-1013,Crear Lead,2026-07-11 04:10:00,Maria Rodriguez,32307,
OPP-1013,Contactar Cliente,2026-07-11 09:25:00,Maria Rodriguez,32307,
OPP-1013,Calificar Lead,2026-07-13 06:25:00,Maria Rodriguez,32307,
OPP-1013,Agendar Demo,2026-07-14 06:25:00,Maria Rodriguez,32307,
OPP-1013,Realizar Demo,2026-07-18 06:25:00,Maria Rodriguez,32307,
OPP-1013,Enviar Propuesta,2026-07-19 06:25:00,Maria Rodriguez,32307,
OPP-1013,Negociación,2026-07-20 06:25:00,Elena Silva,32307,
OPP-1013,Aprobación Legal,2026-07-22 06:25:00,Abog. Ruiz,32307,
OPP-1013,Cerrar Perdido,2026-07-25 06:25:00,Abog. Ruiz,32307,La calidad no le gusta al cliente
OPP-1014,Crear Lead,2026-07-12 19:10:00,Juan Martinez,43863,
OPP-1014,Contactar Cliente,2026-07-13 02:43:00,Juan Martinez,43863,
OPP-1014,Cerrar Perdido,2026-07-13 22:43:00,Juan Martinez,43863,La calidad no le gusta al cliente
OPP-1015,Crear Lead,2026-07-16 20:47:00,Maria Rodriguez,29916,
OPP-1015,Contactar Cliente,2026-07-17 19:21:00,Maria Rodriguez,29916,
OPP-1015,Cerrar Perdido,2026-07-18 18:21:00,Maria Rodriguez,29916,Percibe mal servicio de parte de empresa
OPP-1016,Crear Lead,2026-07-13 02:38:00,Ana Gomez,5876,
OPP-1016,Contactar Cliente,2026-07-13 19:01:00,Ana Gomez,5876,
OPP-1016,Cerrar Perdido,2026-07-15 11:01:00,Ana Gomez,5876,No tenemos el producto (sin existencias)
OPP-1017,Crear Lead,2026-07-11 21:45:00,Maria Rodriguez,7515,
OPP-1017,Contactar Cliente,2026-07-12 19:09:00,Maria Rodriguez,7515,
OPP-1017,Calificar Lead,2026-07-13 04:09:00,Maria Rodriguez,7515,
OPP-1017,Agendar Demo,2026-07-15 04:09:00,Maria Rodriguez,7515,
OPP-1017,Realizar Demo,2026-07-16 04:09:00,Maria Rodriguez,7515,
OPP-1017,Enviar Propuesta,2026-07-18 04:09:00,Maria Rodriguez,7515,
OPP-1017,Negociación,2026-07-22 04:09:00,Elena Silva,7515,
OPP-1017,Cerrar Perdido,2026-07-25 04:09:00,Elena Silva,7515,Sin presupuesto / Proyecto cancelado
OPP-1018,Crear Lead,2026-07-16 08:06:00,Juan Martinez,9236,
OPP-1018,Contactar Cliente,2026-07-16 20:40:00,Juan Martinez,9236,
OPP-1018,Calificar Lead,2026-07-17 16:40:00,Juan Martinez,9236,
OPP-1018,Enviar Propuesta,2026-07-18 16:40:00,Juan Martinez,9236,
OPP-1018,Negociación,2026-07-20 16:40:00,Elena Silva,9236,
OPP-1018,Cerrar Ganado,2026-07-23 16:40:00,Elena Silva,9236,
OPP-1019,Crear Lead,2026-07-07 23:16:00,Ana Gomez,47080,
OPP-1019,Contactar Cliente,2026-07-08 04:06:00,Ana Gomez,47080,
OPP-1019,Calificar Lead,2026-07-10 01:06:00,Ana Gomez,47080,
OPP-1019,Enviar Propuesta,2026-07-11 01:06:00,Ana Gomez,47080,
OPP-1019,Negociación,2026-07-12 01:06:00,Elena Silva,47080,
OPP-1019,Aprobación Legal,2026-07-13 01:06:00,Abog. Ruiz,47080,
OPP-1019,Cerrar Perdido,2026-07-16 01:06:00,Abog. Ruiz,47080,Precio muy alto
OPP-1020,Crear Lead,2026-07-03 04:32:00,Luis Perez,6026,
OPP-1020,Contactar Cliente,2026-07-03 07:20:00,Luis Perez,6026,
OPP-1020,Calificar Lead,2026-07-03 21:20:00,Luis Perez,6026,
OPP-1020,Agendar Demo,2026-07-05 21:20:00,Luis Perez,6026,
OPP-1020,Realizar Demo,2026-07-07 21:20:00,Luis Perez,6026,
OPP-1020,Enviar Propuesta,2026-07-08 21:20:00,Luis Perez,6026,
OPP-1020,Negociación,2026-07-09 21:20:00,Carlos Mendoza,6026,
OPP-1020,Cerrar Ganado,2026-07-13 21:20:00,Elena Silva,6026,
OPP-1021,Crear Lead,2026-07-11 21:40:00,Ana Gomez,3813,
OPP-1021,Contactar Cliente,2026-07-12 03:24:00,Ana Gomez,3813,
OPP-1021,Calificar Lead,2026-07-12 05:24:00,Ana Gomez,3813,
OPP-1021,Agendar Demo,2026-07-14 05:24:00,Ana Gomez,3813,
OPP-1021,Realizar Demo,2026-07-17 05:24:00,Ana Gomez,3813,
OPP-1021,Enviar Propuesta,2026-07-19 05:24:00,Ana Gomez,3813,
OPP-1021,Negociación,2026-07-22 05:24:00,Carlos Mendoza,3813,
OPP-1021,Cerrar Perdido,2026-07-25 05:24:00,Carlos Mendoza,3813,Sin presupuesto / Proyecto cancelado
OPP-1022,Crear Lead,2026-07-15 06:38:00,Luis Perez,27599,
OPP-1022,Contactar Cliente,2026-07-15 14:12:00,Luis Perez,27599,
OPP-1022,Calificar Lead,2026-07-16 14:12:00,Luis Perez,27599,
OPP-1022,Agendar Demo,2026-07-17 14:12:00,Luis Perez,27599,
OPP-1022,Realizar Demo,2026-07-20 14:12:00,Luis Perez,27599,
OPP-1022,Enviar Propuesta,2026-07-21 14:12:00,Luis Perez,27599,
OPP-1022,Negociación,2026-07-22 14:12:00,Carlos Mendoza,27599,
OPP-1022,Enviar Propuesta,2026-07-24 14:12:00,Luis Perez,26157,
OPP-1022,Negociación,2026-07-25 14:12:00,Carlos Mendoza,26157,
OPP-1022,Aprobación Legal,2026-07-26 14:12:00,Abog. Castro,26157,
OPP-1022,Cerrar Perdido,2026-07-27 14:12:00,Abog. Castro,26157,Precio muy alto
OPP-1023,Crear Lead,2026-07-16 21:23:00,Ana Gomez,25159,
OPP-1023,Contactar Cliente,2026-07-17 03:05:00,Ana Gomez,25159,
OPP-1023,Calificar Lead,2026-07-19 02:05:00,Ana Gomez,25159,
OPP-1023,Agendar Demo,2026-07-20 02:05:00,Ana Gomez,25159,
OPP-1023,Realizar Demo,2026-07-24 02:05:00,Ana Gomez,25159,
OPP-1023,Enviar Propuesta,2026-07-26 02:05:00,Ana Gomez,25159,
OPP-1023,Negociación,2026-07-29 02:05:00,Elena Silva,25159,
OPP-1023,Aprobación Legal,2026-08-01 02:05:00,Abog. Ruiz,25159,
OPP-1023,Cerrar Ganado,2026-08-03 02:05:00,Carlos Mendoza,25159,
OPP-1024,Crear Lead,2026-07-11 01:23:00,Luis Perez,37969,
OPP-1024,Contactar Cliente,2026-07-11 13:05:00,Luis Perez,37969,
OPP-1024,Calificar Lead,2026-07-12 19:05:00,Luis Perez,37969,
OPP-1024,Agendar Demo,2026-07-15 19:05:00,Luis Perez,37969,
OPP-1024,Realizar Demo,2026-07-17 19:05:00,Luis Perez,37969,
OPP-1024,Enviar Propuesta,2026-07-19 19:05:00,Luis Perez,37969,
OPP-1024,Negociación,2026-07-24 19:05:00,Carlos Mendoza,37969,
OPP-1024,Cerrar Perdido,2026-07-26 19:05:00,Carlos Mendoza,37969,Percibe mal servicio de parte de empresa
OPP-1025,Crear Lead,2026-07-03 15:54:00,Luis Perez,23121,
OPP-1025,Contactar Cliente,2026-07-04 12:43:00,Luis Perez,23121,
OPP-1025,Cerrar Perdido,2026-07-06 11:43:00,Luis Perez,23121,Percibe mal servicio de parte de empresa
OPP-1026,Crear Lead,2026-07-02 22:30:00,Ana Gomez,44148,
OPP-1026,Contactar Cliente,2026-07-03 22:14:00,Ana Gomez,44148,
OPP-1026,Cerrar Perdido,2026-07-05 03:14:00,Ana Gomez,44148,La calidad no le gusta al cliente
OPP-1027,Crear Lead,2026-07-10 05:13:00,Juan Martinez,24211,
OPP-1027,Contactar Cliente,2026-07-10 14:55:00,Juan Martinez,24211,
OPP-1027,Calificar Lead,2026-07-11 19:55:00,Juan Martinez,24211,
OPP-1027,Agendar Demo,2026-07-12 19:55:00,Juan Martinez,24211,
OPP-1027,Realizar Demo,2026-07-15 19:55:00,Juan Martinez,24211,
OPP-1027,Enviar Propuesta,2026-07-16 19:55:00,Juan Martinez,24211,
OPP-1027,Negociación,2026-07-19 19:55:00,Elena Silva,24211,
OPP-1027,Aprobación Legal,2026-07-22 19:55:00,Abog. Ruiz,24211,
OPP-1027,Cerrar Ganado,2026-07-25 19:55:00,Carlos Mendoza,24211,
OPP-1028,Crear Lead,2026-07-14 12:22:00,Ana Gomez,24300,
OPP-1028,Contactar Cliente,2026-07-14 23:51:00,Ana Gomez,24300,
OPP-1028,Calificar Lead,2026-07-16 23:51:00,Ana Gomez,24300,
OPP-1028,Agendar Demo,2026-07-18 23:51:00,Ana Gomez,24300,
OPP-1028,Realizar Demo,2026-07-22 23:51:00,Ana Gomez,24300,
OPP-1028,Enviar Propuesta,2026-07-24 23:51:00,Ana Gomez,24300,
OPP-1028,Negociación,2026-07-25 23:51:00,Elena Silva,24300,
OPP-1028,Aprobación Legal,2026-07-27 23:51:00,Abog. Ruiz,24300,
OPP-1028,Cerrar Ganado,2026-07-29 23:51:00,Carlos Mendoza,24300,
OPP-1029,Crear Lead,2026-07-04 01:06:00,Ana Gomez,36331,
OPP-1029,Contactar Cliente,2026-07-04 14:46:00,Ana Gomez,36331,
OPP-1029,Calificar Lead,2026-07-05 10:46:00,Ana Gomez,36331,
OPP-1029,Agendar Demo,2026-07-06 10:46:00,Ana Gomez,36331,
OPP-1029,Realizar Demo,2026-07-09 10:46:00,Ana Gomez,36331,
OPP-1029,Enviar Propuesta,2026-07-11 10:46:00,Ana Gomez,36331,
OPP-1029,Negociación,2026-07-15 10:46:00,Elena Silva,36331,
OPP-1029,Aprobación Legal,2026-07-19 10:46:00,Abog. Castro,36331,
OPP-1029,Cerrar Ganado,2026-07-21 10:46:00,Carlos Mendoza,36331,
OPP-1030,Crear Lead,2026-07-13 02:11:00,Ana Gomez,24863,
OPP-1030,Contactar Cliente,2026-07-13 07:41:00,Ana Gomez,24863,
OPP-1030,Calificar Lead,2026-07-14 06:41:00,Ana Gomez,24863,
OPP-1030,Enviar Propuesta,2026-07-15 06:41:00,Ana Gomez,24863,
OPP-1030,Negociación,2026-07-18 06:41:00,Carlos Mendoza,24863,
OPP-1030,Aprobación Legal,2026-07-19 06:41:00,Abog. Ruiz,24863,
OPP-1030,Cerrar Perdido,2026-07-22 06:41:00,Abog. Ruiz,24863,Percibe mal servicio de parte de empresa
OPP-1031,Crear Lead,2026-07-03 17:44:00,Maria Rodriguez,19887,
OPP-1031,Contactar Cliente,2026-07-04 17:31:00,Maria Rodriguez,19887,
OPP-1031,Cerrar Perdido,2026-07-06 01:31:00,Maria Rodriguez,19887,No tiene credito con la empresa
OPP-1032,Crear Lead,2026-07-08 04:33:00,Ana Gomez,24871,
OPP-1032,Contactar Cliente,2026-07-08 22:52:00,Ana Gomez,24871,
OPP-1032,Calificar Lead,2026-07-10 02:52:00,Ana Gomez,24871,
OPP-1032,Enviar Propuesta,2026-07-13 02:52:00,Ana Gomez,24871,
OPP-1032,Negociación,2026-07-18 02:52:00,Carlos Mendoza,24871,
OPP-1032,Aprobación Legal,2026-07-20 02:52:00,Abog. Castro,24871,
OPP-1032,Cerrar Perdido,2026-07-21 02:52:00,Abog. Castro,24871,La calidad no le gusta al cliente
OPP-1033,Crear Lead,2026-07-09 14:36:00,Ana Gomez,13503,
OPP-1033,Contactar Cliente,2026-07-10 03:54:00,Ana Gomez,13503,
OPP-1033,Calificar Lead,2026-07-11 12:54:00,Ana Gomez,13503,
OPP-1033,Agendar Demo,2026-07-12 12:54:00,Ana Gomez,13503,
OPP-1033,Realizar Demo,2026-07-15 12:54:00,Ana Gomez,13503,
OPP-1033,Enviar Propuesta,2026-07-16 12:54:00,Ana Gomez,13503,
OPP-1033,Negociación,2026-07-21 12:54:00,Elena Silva,13503,
OPP-1033,Enviar Propuesta,2026-07-24 12:54:00,Ana Gomez,12207,
OPP-1033,Negociación,2026-07-25 12:54:00,Elena Silva,12207,
OPP-1033,Cerrar Ganado,2026-07-28 12:54:00,Carlos Mendoza,12207,
OPP-1034,Crear Lead,2026-07-01 20:35:00,Luis Perez,21019,
OPP-1034,Contactar Cliente,2026-07-02 10:21:00,Luis Perez,21019,
OPP-1034,Cerrar Perdido,2026-07-03 19:21:00,Luis Perez,21019,Percibe mal servicio de parte de empresa
OPP-1035,Crear Lead,2026-07-04 11:12:00,Luis Perez,18861,
OPP-1035,Contactar Cliente,2026-07-04 20:51:00,Luis Perez,18861,
OPP-1035,Calificar Lead,2026-07-05 03:51:00,Luis Perez,18861,
OPP-1035,Agendar Demo,2026-07-08 03:51:00,Luis Perez,18861,
OPP-1035,Realizar Demo,2026-07-12 03:51:00,Luis Perez,18861,
OPP-1035,Enviar Propuesta,2026-07-13 03:51:00,Luis Perez,18861,
OPP-1035,Negociación,2026-07-16 03:51:00,Elena Silva,18861,
OPP-1035,Enviar Propuesta,2026-07-18 03:51:00,Luis Perez,16832,
OPP-1035,Negociación,2026-07-21 03:51:00,Carlos Mendoza,16832,
OPP-1035,Aprobación Legal,2026-07-24 03:51:00,Abog. Castro,16832,
OPP-1035,Cerrar Perdido,2026-07-25 03:51:00,Abog. Castro,16832,La calidad no le gusta al cliente
OPP-1036,Crear Lead,2026-07-09 13:59:00,Maria Rodriguez,49933,
OPP-1036,Contactar Cliente,2026-07-10 01:10:00,Maria Rodriguez,49933,
OPP-1036,Calificar Lead,2026-07-10 21:10:00,Maria Rodriguez,49933,
OPP-1036,Enviar Propuesta,2026-07-13 21:10:00,Maria Rodriguez,49933,
OPP-1036,Negociación,2026-07-17 21:10:00,Carlos Mendoza,49933,
OPP-1036,Aprobación Legal,2026-07-18 21:10:00,Abog. Ruiz,49933,
OPP-1036,Cerrar Perdido,2026-07-20 21:10:00,Abog. Ruiz,49933,La calidad no le gusta al cliente
OPP-1037,Crear Lead,2026-07-04 16:28:00,Ana Gomez,33267,
OPP-1037,Contactar Cliente,2026-07-05 02:00:00,Ana Gomez,33267,
OPP-1037,Calificar Lead,2026-07-06 19:00:00,Ana Gomez,33267,
OPP-1037,Agendar Demo,2026-07-07 19:00:00,Ana Gomez,33267,
OPP-1037,Realizar Demo,2026-07-08 19:00:00,Ana Gomez,33267,
OPP-1037,Enviar Propuesta,2026-07-09 19:00:00,Ana Gomez,33267,
OPP-1037,Negociación,2026-07-11 19:00:00,Elena Silva,33267,
OPP-1037,Enviar Propuesta,2026-07-15 19:00:00,Ana Gomez,28528,
OPP-1037,Negociación,2026-07-17 19:00:00,Carlos Mendoza,28528,
OPP-1037,Aprobación Legal,2026-07-19 19:00:00,Abog. Castro,28528,
OPP-1037,Cerrar Ganado,2026-07-20 19:00:00,Elena Silva,28528,
OPP-1038,Crear Lead,2026-07-05 03:19:00,Juan Martinez,37163,
OPP-1038,Contactar Cliente,2026-07-05 04:35:00,Juan Martinez,37163,
OPP-1038,Calificar Lead,2026-07-06 23:35:00,Juan Martinez,37163,
OPP-1038,Agendar Demo,2026-07-09 23:35:00,Juan Martinez,37163,
OPP-1038,Realizar Demo,2026-07-10 23:35:00,Juan Martinez,37163,
OPP-1038,Enviar Propuesta,2026-07-12 23:35:00,Juan Martinez,37163,
OPP-1038,Negociación,2026-07-14 23:35:00,Elena Silva,37163,
OPP-1038,Aprobación Legal,2026-07-17 23:35:00,Abog. Castro,37163,
OPP-1038,Cerrar Ganado,2026-07-18 23:35:00,Elena Silva,37163,
OPP-1039,Crear Lead,2026-07-03 13:37:00,Maria Rodriguez,8066,
OPP-1039,Contactar Cliente,2026-07-03 16:25:00,Maria Rodriguez,8066,
OPP-1039,Calificar Lead,2026-07-04 21:25:00,Maria Rodriguez,8066,
OPP-1039,Enviar Propuesta,2026-07-07 21:25:00,Maria Rodriguez,8066,
OPP-1039,Negociación,2026-07-11 21:25:00,Carlos Mendoza,8066,
OPP-1039,Cerrar Ganado,2026-07-14 21:25:00,Elena Silva,8066,
OPP-1040,Crear Lead,2026-07-09 10:15:00,Maria Rodriguez,38981,
OPP-1040,Contactar Cliente,2026-07-10 05:54:00,Maria Rodriguez,38981,
OPP-1040,Calificar Lead,2026-07-12 02:54:00,Maria Rodriguez,38981,
OPP-1040,Agendar Demo,2026-07-13 02:54:00,Maria Rodriguez,38981,
OPP-1040,Realizar Demo,2026-07-15 02:54:00,Maria Rodriguez,38981,
OPP-1040,Enviar Propuesta,2026-07-16 02:54:00,Maria Rodriguez,38981,
OPP-1040,Negociación,2026-07-19 02:54:00,Carlos Mendoza,38981,
OPP-1040,Aprobación Legal,2026-07-20 02:54:00,Abog. Castro,38981,
OPP-1040,Cerrar Ganado,2026-07-23 02:54:00,Carlos Mendoza,38981,
OPP-1041,Crear Lead,2026-07-06 06:18:00,Juan Martinez,8743,
OPP-1041,Contactar Cliente,2026-07-06 07:45:00,Juan Martinez,8743,
OPP-1041,Calificar Lead,2026-07-08 05:45:00,Juan Martinez,8743,
OPP-1041,Agendar Demo,2026-07-09 05:45:00,Juan Martinez,8743,
OPP-1041,Realizar Demo,2026-07-12 05:45:00,Juan Martinez,8743,
OPP-1041,Enviar Propuesta,2026-07-14 05:45:00,Juan Martinez,8743,
OPP-1041,Negociación,2026-07-18 05:45:00,Carlos Mendoza,8743,
OPP-1041,Cerrar Ganado,2026-07-22 05:45:00,Carlos Mendoza,8743,
OPP-1042,Crear Lead,2026-07-02 05:03:00,Luis Perez,1883,
OPP-1042,Contactar Cliente,2026-07-02 20:49:00,Luis Perez,1883,
OPP-1042,Calificar Lead,2026-07-04 07:49:00,Luis Perez,1883,
OPP-1042,Agendar Demo,2026-07-07 07:49:00,Luis Perez,1883,
OPP-1042,Realizar Demo,2026-07-09 07:49:00,Luis Perez,1883,
OPP-1042,Enviar Propuesta,2026-07-10 07:49:00,Luis Perez,1883,
OPP-1042,Negociación,2026-07-15 07:49:00,Elena Silva,1883,
OPP-1042,Cerrar Perdido,2026-07-19 07:49:00,Elena Silva,1883,No tiene credito con la empresa
OPP-1043,Crear Lead,2026-07-02 12:18:00,Juan Martinez,16516,
OPP-1043,Contactar Cliente,2026-07-02 16:57:00,Juan Martinez,16516,
OPP-1043,Calificar Lead,2026-07-03 04:57:00,Juan Martinez,16516,
OPP-1043,Agendar Demo,2026-07-06 04:57:00,Juan Martinez,16516,
OPP-1043,Realizar Demo,2026-07-09 04:57:00,Juan Martinez,16516,
OPP-1043,Enviar Propuesta,2026-07-10 04:57:00,Juan Martinez,16516,
OPP-1043,Negociación,2026-07-14 04:57:00,Elena Silva,16516,
OPP-1043,Aprobación Legal,2026-07-15 04:57:00,Abog. Castro,16516,
OPP-1043,Cerrar Perdido,2026-07-17 04:57:00,Abog. Castro,16516,No tiene credito con la empresa
OPP-1044,Crear Lead,2026-07-01 17:17:00,Ana Gomez,37289,
OPP-1044,Contactar Cliente,2026-07-02 03:06:00,Ana Gomez,37289,
OPP-1044,Calificar Lead,2026-07-03 12:06:00,Ana Gomez,37289,
OPP-1044,Agendar Demo,2026-07-04 12:06:00,Ana Gomez,37289,
OPP-1044,Realizar Demo,2026-07-05 12:06:00,Ana Gomez,37289,
OPP-1044,Enviar Propuesta,2026-07-06 12:06:00,Ana Gomez,37289,
OPP-1044,Negociación,2026-07-11 12:06:00,Carlos Mendoza,37289,
OPP-1044,Aprobación Legal,2026-07-13 12:06:00,Abog. Castro,37289,
OPP-1044,Cerrar Ganado,2026-07-14 12:06:00,Elena Silva,37289,
OPP-1045,Crear Lead,2026-07-12 05:55:00,Juan Martinez,33492,
